"","year","Infant mortality rate","Neonatal mortality rate","Under 5 mortality rate","Maternal Mortality rate","ISO"
"1",2000,90.5,60.9,129.2,1450,"AFG"
"2",2001,87.9,59.7,125.2,1390,"AFG"
"3",2002,85.3,58.5,121.1,1300,"AFG"
"4",2003,82.7,57.2,116.9,1240,"AFG"
"5",2004,80,55.9,112.6,1180,"AFG"
"6",2005,77.3,54.6,108.4,1140,"AFG"
"7",2006,74.6,53.2,104.1,1120,"AFG"
"8",2007,71.9,51.7,99.9,1090,"AFG"
"9",2008,69.2,50.3,95.7,1030,"AFG"
"10",2009,66.7,48.9,91.7,993,"AFG"
"11",2010,64.2,47.4,87.8,954,"AFG"
"12",2011,61.8,46,84,905,"AFG"
"13",2012,59.5,44.6,80.3,858,"AFG"
"14",2013,57.3,43.2,76.9,810,"AFG"
"15",2014,55.2,41.9,73.6,786,"AFG"
"16",2015,53.2,40.5,70.4,701,"AFG"
"17",2016,51.3,39.3,67.5,673,"AFG"
"18",2017,49.5,38.2,64.8,638,"AFG"
"19",2018,47.9,37.2,62.3,NA,"AFG"
"20",2019,46.4,36.1,60.1,NA,"AFG"
"21",2000,85.55713132,37.67115207,137.5449914,777,NA
"22",2001,82.53188388,36.86857678,132.1296314,751,NA
"23",2002,79.36310008,36.03043776,126.4633285,732,NA
"24",2003,76.24338583,35.1846309,120.8348265,710,NA
"25",2004,73.22076952,34.32607447,115.4043538,680,NA
"26",2005,70.28120223,33.50210187,110.1448593,643,NA
"27",2006,67.58222948,32.74777947,105.2067126,608,NA
"28",2007,64.90957431,31.97290805,100.2209939,577,NA
"29",2008,62.38313267,31.262069,95.33053644,551,NA
"30",2009,59.98633496,30.56522362,90.5094233,526,NA
"31",2010,57.79580247,29.88193945,86.11572214,501,NA
"32",2011,55.67965817,29.22051347,82.05748353,480,NA
"33",2012,53.73743013,28.57428522,78.25007097,462,NA
"34",2013,52.00407493,27.95688633,74.81667325,446,NA
"35",2014,50.41558946,27.348936,71.79495789,433,NA
"36",2015,48.95864126,26.7837127,69.13815746,419,NA
"37",2016,47.52724371,26.22490573,66.51592775,408,NA
"38",2017,46.1081401,25.69128825,64.24399372,398,NA
"39",2018,44.79522074,25.13165636,62.07293632,NA,NA
"40",2019,43.59125166,24.5979354,60.05415038,NA,NA
"41",2000,99.16617376,43.95216135,169.4711147,1000,NA
"42",2001,96.5793404,42.90921397,164.3553376,987,NA
"43",2002,93.92350562,41.84866308,158.9838056,973,NA
"44",2003,91.2442253,40.86544028,153.6297794,954,NA
"45",2004,88.57660878,39.90788885,148.2783528,924,NA
"46",2005,86.0171123,39.00919165,143.1011193,890,NA
"47",2006,83.53945121,38.21358493,138.1644716,858,NA
"48",2007,81.17597055,37.51933436,133.4750447,834,NA
"49",2008,79.00153677,36.88893011,129.1176461,821,NA
"50",2009,77.02490628,36.26164215,125.0638226,810,NA
"51",2010,75.16024311,35.69794091,121.38325,798,NA
"52",2011,73.5080295,35.19385313,118.0393257,789,NA
"53",2012,71.96530018,34.74189555,114.9971079,778,NA
"54",2013,70.55418322,34.35797657,112.1911899,767,NA
"55",2014,69.24899712,33.95211279,109.6962866,758,NA
"56",2015,68.00160289,33.57905619,107.2916927,744,NA
"57",2016,66.67483055,33.16771618,104.637694,729,NA
"58",2017,65.31384172,32.72579699,102.0320864,717,NA
"59",2018,63.87577856,32.21974168,99.29113974,NA,NA
"60",2019,62.35233279,31.73890801,96.49428924,NA,NA
"61",2000,24.1,12.1,27.2,23,"ALB"
"62",2001,22.9,11.8,25.8,23,"ALB"
"63",2002,21.7,11.4,24.4,21,"ALB"
"64",2003,20.4,11.1,23,21,"ALB"
"65",2004,19.1,10.9,21.5,18,"ALB"
"66",2005,17.8,10.6,20,22,"ALB"
"67",2006,16.6,10,18.5,18,"ALB"
"68",2007,15.3,9.2,17.1,19,"ALB"
"69",2008,14.1,8.3,15.8,20,"ALB"
"70",2009,12.9,7.4,14.5,20,"ALB"
"71",2010,11.8,6.7,13.3,21,"ALB"
"72",2011,10.8,6.2,12.1,22,"ALB"
"73",2012,10,6,11.2,17,"ALB"
"74",2013,9.3,5.9,10.4,16,"ALB"
"75",2014,8.8,5.9,9.9,16,"ALB"
"76",2015,8.5,6,9.6,15,"ALB"
"77",2016,8.4,6.3,9.4,16,"ALB"
"78",2017,8.4,6.7,9.4,15,"ALB"
"79",2018,8.5,7.1,9.5,NA,"ALB"
"80",2019,8.6,7.5,9.7,NA,"ALB"
"81",2000,33.9,21.1,39.7,161,"DZA"
"82",2001,33.3,21.1,38.9,155,"DZA"
"83",2002,32.4,20.9,37.8,148,"DZA"
"84",2003,31.3,20.8,36.5,145,"DZA"
"85",2004,30.1,20.4,35.1,134,"DZA"
"86",2005,28.8,20.1,33.6,127,"DZA"
"87",2006,27.6,19.8,32.1,122,"DZA"
"88",2007,26.4,19.4,30.7,119,"DZA"
"89",2008,25.3,18.9,29.5,117,"DZA"
"90",2009,24.4,18.2,28.4,117,"DZA"
"91",2010,23.6,17.5,27.4,115,"DZA"
"92",2011,22.9,17.1,26.7,116,"DZA"
"93",2012,22.5,16.9,26.2,116,"DZA"
"94",2013,22.1,16.4,25.8,115,"DZA"
"95",2014,21.9,15.7,25.5,114,"DZA"
"96",2015,21.6,15.1,25.2,114,"DZA"
"97",2016,21.3,15.1,24.8,113,"DZA"
"98",2017,20.9,15.6,24.3,112,"DZA"
"99",2018,20.4,16,23.8,NA,"DZA"
"100",2019,20,16.3,23.3,NA,"DZA"
"101",2000,NA,NA,NA,NA,"ASM"
"102",2001,NA,NA,NA,NA,"ASM"
"103",2002,NA,NA,NA,NA,"ASM"
"104",2003,NA,NA,NA,NA,"ASM"
"105",2004,NA,NA,NA,NA,"ASM"
"106",2005,NA,NA,NA,NA,"ASM"
"107",2006,NA,NA,NA,NA,"ASM"
"108",2007,NA,NA,NA,NA,"ASM"
"109",2008,NA,NA,NA,NA,"ASM"
"110",2009,NA,NA,NA,NA,"ASM"
"111",2010,NA,NA,NA,NA,"ASM"
"112",2011,NA,NA,NA,NA,"ASM"
"113",2012,NA,NA,NA,NA,"ASM"
"114",2013,NA,NA,NA,NA,"ASM"
"115",2014,NA,NA,NA,NA,"ASM"
"116",2015,NA,NA,NA,NA,"ASM"
"117",2016,NA,NA,NA,NA,"ASM"
"118",2017,NA,NA,NA,NA,"ASM"
"119",2018,NA,NA,NA,NA,"ASM"
"120",2019,NA,NA,NA,NA,"ASM"
"121",2000,7.3,3.8,8.2,NA,"AND"
"122",2001,6.9,3.6,7.7,NA,"AND"
"123",2002,6.5,3.3,7.3,NA,"AND"
"124",2003,6.2,3.2,6.9,NA,"AND"
"125",2004,5.9,3,6.5,NA,"AND"
"126",2005,5.6,2.9,6.1,NA,"AND"
"127",2006,5.3,2.7,5.8,NA,"AND"
"128",2007,5,2.6,5.4,NA,"AND"
"129",2008,4.7,2.5,5.1,NA,"AND"
"130",2009,4.4,2.3,4.8,NA,"AND"
"131",2010,4.1,2.2,4.5,NA,"AND"
"132",2011,3.9,2.1,4.2,NA,"AND"
"133",2012,3.7,2,4,NA,"AND"
"134",2013,3.5,1.9,3.8,NA,"AND"
"135",2014,3.3,1.8,3.5,NA,"AND"
"136",2015,3.1,1.7,3.3,NA,"AND"
"137",2016,2.9,1.6,3.2,NA,"AND"
"138",2017,2.8,1.5,3,NA,"AND"
"139",2018,2.6,1.4,2.8,NA,"AND"
"140",2019,2.5,1.4,2.7,NA,"AND"
"141",2000,121.5,50.3,204.4,827,"AGO"
"142",2001,118.2,49.2,198.4,766,"AGO"
"143",2002,114.5,48,191.5,690,"AGO"
"144",2003,110.4,46.5,183.8,628,"AGO"
"145",2004,105.7,45.1,175.1,574,"AGO"
"146",2005,100.9,43.5,166.1,519,"AGO"
"147",2006,95.7,42,156.4,473,"AGO"
"148",2007,90.6,40.5,147,431,"AGO"
"149",2008,85.5,39,137.7,395,"AGO"
"150",2009,80.6,37.7,128.7,359,"AGO"
"151",2010,75.9,36.3,120.4,326,"AGO"
"152",2011,71.5,35.1,112.5,300,"AGO"
"153",2012,67.4,33.8,105.1,281,"AGO"
"154",2013,63.7,32.7,98.5,269,"AGO"
"155",2014,60.5,31.7,92.9,258,"AGO"
"156",2015,57.7,30.8,88.1,251,"AGO"
"157",2016,55.5,30,84.1,246,"AGO"
"158",2017,53.5,29.2,80.6,241,"AGO"
"159",2018,51.7,28.6,77.3,NA,"AGO"
"160",2019,49.9,27.9,74.2,NA,"AGO"
"161",2000,12.6,9.7,15.5,44,"ATG"
"162",2001,12.3,9.5,15.1,44,"ATG"
"163",2002,11.9,9.3,14.6,43,"ATG"
"164",2003,11.5,8.9,14.1,44,"ATG"
"165",2004,11,8.6,13.5,41,"ATG"
"166",2005,10.6,8.2,12.9,40,"ATG"
"167",2006,10.1,7.7,12.3,46,"ATG"
"168",2007,9.6,7.3,11.7,48,"ATG"
"169",2008,9.2,6.8,11.1,50,"ATG"
"170",2009,8.7,6.3,10.6,45,"ATG"
"171",2010,8.3,5.8,10,44,"ATG"
"172",2011,7.9,5.4,9.5,43,"ATG"
"173",2012,7.5,5.1,9,44,"ATG"
"174",2013,7.1,4.7,8.5,43,"ATG"
"175",2014,6.8,4.5,8.1,42,"ATG"
"176",2015,6.5,4.2,7.8,43,"ATG"
"177",2016,6.2,4.1,7.4,43,"ATG"
"178",2017,6,3.9,7.1,42,"ATG"
"179",2018,5.8,3.8,6.9,NA,"ATG"
"180",2019,5.6,3.6,6.6,NA,"ATG"
"181",2000,44.09256936,25.43366271,60.55947269,250,NA
"182",2001,42.80036294,24.93281577,58.68500273,243,NA
"183",2002,41.50108659,24.44103019,56.84083698,235,NA
"184",2003,40.27458816,23.9299708,55.05752876,235,NA
"185",2004,39.03268064,23.37480051,53.26149867,226,NA
"186",2005,37.82395227,22.8193077,51.51764004,214,NA
"187",2006,36.61907387,22.23770667,49.7665975,211,NA
"188",2007,35.39824616,21.65908974,47.994989,201,NA
"189",2008,34.18125018,21.01697136,46.19507879,188,NA
"190",2009,33.03302876,20.42271206,44.47126503,180,NA
"191",2010,31.98699405,19.81082997,42.96973593,174,NA
"192",2011,31.1429479,19.32042084,41.75459068,167,NA
"193",2012,30.64680617,18.88427645,41.36755449,163,NA
"194",2013,30.00549986,18.45402447,40.60593811,157,NA
"195",2014,29.35539374,18.00301048,39.65857468,156,NA
"196",2015,28.69596462,17.61914483,38.62730663,153,NA
"197",2016,28.08376594,17.33249392,37.68171538,152,NA
"198",2017,27.29272157,17.11626306,36.23137417,149,NA
"199",2018,26.82549778,16.87736007,35.61514683,NA,NA
"200",2019,26.33280639,16.65764201,34.88575942,NA,NA
"201",2000,17.5,11,19.6,66,"ARG"
"202",2001,16.9,11,18.9,67,"ARG"
"203",2002,16.4,10.8,18.3,65,"ARG"
"204",2003,15.8,10.3,17.7,65,"ARG"
"205",2004,15.3,9.7,17.1,61,"ARG"
"206",2005,14.8,9.1,16.5,59,"ARG"
"207",2006,14.4,8.7,16.1,57,"ARG"
"208",2007,14,8.4,15.7,56,"ARG"
"209",2008,13.7,8.1,15.3,53,"ARG"
"210",2009,13.3,7.8,14.9,56,"ARG"
"211",2010,12.9,7.6,14.5,51,"ARG"
"212",2011,12.4,7.5,13.9,48,"ARG"
"213",2012,11.9,7.6,13.3,47,"ARG"
"214",2013,11.3,7.4,12.7,44,"ARG"
"215",2014,10.8,6.9,12.1,42,"ARG"
"216",2015,10.2,6.5,11.5,41,"ARG"
"217",2016,9.7,6.4,10.9,40,"ARG"
"218",2017,9.2,6.3,10.3,39,"ARG"
"219",2018,8.6,6,9.7,NA,"ARG"
"220",2019,8.1,5.3,9.1,NA,"ARG"
"221",2000,27,16.1,30.6,43,"ARM"
"222",2001,25.7,15.3,29.1,42,"ARM"
"223",2002,24.5,14.5,27.7,39,"ARM"
"224",2003,23.3,13.8,26.3,38,"ARM"
"225",2004,22.2,13.1,25,36,"ARM"
"226",2005,21.1,12.5,23.7,35,"ARM"
"227",2006,20,11.9,22.5,36,"ARM"
"228",2007,19,11.3,21.4,32,"ARM"
"229",2008,18.1,10.7,20.3,36,"ARM"
"230",2009,17.2,10.1,19.2,32,"ARM"
"231",2010,16.3,9.6,18.3,32,"ARM"
"232",2011,15.5,9.1,17.3,30,"ARM"
"233",2012,14.7,8.7,16.4,30,"ARM"
"234",2013,14,8.2,15.6,26,"ARM"
"235",2014,13.3,7.8,14.8,27,"ARM"
"236",2015,12.6,7.4,14.1,28,"ARM"
"237",2016,12,7,13.4,26,"ARM"
"238",2017,11.3,6.7,12.7,26,"ARM"
"239",2018,10.8,6.4,12.1,NA,"ARM"
"240",2019,10.2,6,11.5,NA,"ARM"
"241",2000,NA,NA,NA,NA,"ABW"
"242",2001,NA,NA,NA,NA,"ABW"
"243",2002,NA,NA,NA,NA,"ABW"
"244",2003,NA,NA,NA,NA,"ABW"
"245",2004,NA,NA,NA,NA,"ABW"
"246",2005,NA,NA,NA,NA,"ABW"
"247",2006,NA,NA,NA,NA,"ABW"
"248",2007,NA,NA,NA,NA,"ABW"
"249",2008,NA,NA,NA,NA,"ABW"
"250",2009,NA,NA,NA,NA,"ABW"
"251",2010,NA,NA,NA,NA,"ABW"
"252",2011,NA,NA,NA,NA,"ABW"
"253",2012,NA,NA,NA,NA,"ABW"
"254",2013,NA,NA,NA,NA,"ABW"
"255",2014,NA,NA,NA,NA,"ABW"
"256",2015,NA,NA,NA,NA,"ABW"
"257",2016,NA,NA,NA,NA,"ABW"
"258",2017,NA,NA,NA,NA,"ABW"
"259",2018,NA,NA,NA,NA,"ABW"
"260",2019,NA,NA,NA,NA,"ABW"
"261",2000,5.1,3.5,6.2,7,"AUS"
"262",2001,5,3.5,6.1,6,"AUS"
"263",2002,5,3.4,6,6,"AUS"
"264",2003,4.9,3.4,5.9,6,"AUS"
"265",2004,4.8,3.3,5.8,5,"AUS"
"266",2005,4.8,3.2,5.7,5,"AUS"
"267",2006,4.7,3.1,5.6,5,"AUS"
"268",2007,4.5,3,5.4,5,"AUS"
"269",2008,4.4,2.9,5.2,5,"AUS"
"270",2009,4.2,2.8,5,5,"AUS"
"271",2010,4,2.7,4.8,5,"AUS"
"272",2011,3.8,2.6,4.5,6,"AUS"
"273",2012,3.6,2.5,4.3,6,"AUS"
"274",2013,3.5,2.4,4.1,6,"AUS"
"275",2014,3.4,2.4,4,6,"AUS"
"276",2015,3.3,2.3,3.9,6,"AUS"
"277",2016,3.2,2.3,3.8,6,"AUS"
"278",2017,3.2,2.3,3.8,6,"AUS"
"279",2018,3.2,2.3,3.7,NA,"AUS"
"280",2019,3.2,2.4,3.7,NA,"AUS"
"281",2000,4.6,3.1,5.5,6,"AUT"
"282",2001,4.5,3.1,5.4,6,"AUT"
"283",2002,4.4,3.1,5.3,6,"AUT"
"284",2003,4.3,3,5.2,6,"AUT"
"285",2004,4.2,2.9,5.1,5,"AUT"
"286",2005,4.1,2.8,4.9,6,"AUT"
"287",2006,3.9,2.8,4.7,5,"AUT"
"288",2007,3.8,2.7,4.6,5,"AUT"
"289",2008,3.8,2.6,4.5,5,"AUT"
"290",2009,3.7,2.6,4.5,5,"AUT"
"291",2010,3.6,2.5,4.3,5,"AUT"
"292",2011,3.5,2.4,4.2,5,"AUT"
"293",2012,3.3,2.4,4,5,"AUT"
"294",2013,3.2,2.3,3.9,5,"AUT"
"295",2014,3.1,2.3,3.8,5,"AUT"
"296",2015,3,2.2,3.7,5,"AUT"
"297",2016,3,2.2,3.6,5,"AUT"
"298",2017,2.9,2.2,3.6,5,"AUT"
"299",2018,2.9,2.2,3.6,NA,"AUT"
"300",2019,2.9,2.3,3.6,NA,"AUT"
"301",2000,60.9,34.3,74.4,47,"AZE"
"302",2001,57.2,32.8,69.3,44,"AZE"
"303",2002,53.5,31.3,64.3,43,"AZE"
"304",2003,50.1,29.8,59.7,44,"AZE"
"305",2004,47,28.3,55.6,39,"AZE"
"306",2005,44.1,26.8,51.9,42,"AZE"
"307",2006,41.5,25.5,48.6,35,"AZE"
"308",2007,39.1,24.1,45.5,34,"AZE"
"309",2008,36.8,22.8,42.7,32,"AZE"
"310",2009,34.7,21.6,39.9,32,"AZE"
"311",2010,32.5,20.3,37.3,31,"AZE"
"312",2011,30.5,18.8,34.9,30,"AZE"
"313",2012,28.5,17.3,32.5,29,"AZE"
"314",2013,26.7,16,30.3,28,"AZE"
"315",2014,24.9,14.7,28.2,28,"AZE"
"316",2015,23.3,13.5,26.3,27,"AZE"
"317",2016,21.8,12.5,24.5,26,"AZE"
"318",2017,20.3,11.7,22.8,26,"AZE"
"319",2018,19.2,10.9,21.5,NA,"AZE"
"320",2019,18.2,10.4,20.4,NA,"AZE"
"321",2000,13.9,8,16.3,75,"BHS"
"322",2001,14,8.2,16.4,76,"BHS"
"323",2002,14.1,8.3,16.5,78,"BHS"
"324",2003,14.3,8.5,16.7,79,"BHS"
"325",2004,14.4,8.6,16.8,78,"BHS"
"326",2005,14.4,8.7,16.8,77,"BHS"
"327",2006,14.3,8.7,16.7,78,"BHS"
"328",2007,14.1,8.6,16.5,77,"BHS"
"329",2008,13.9,8.5,16.2,77,"BHS"
"330",2009,13.6,8.3,15.9,78,"BHS"
"331",2010,13.3,8.1,15.6,78,"BHS"
"332",2011,13,7.9,15.2,78,"BHS"
"333",2012,12.8,7.8,14.9,78,"BHS"
"334",2013,12.5,7.7,14.6,78,"BHS"
"335",2014,12.2,7.5,14.3,77,"BHS"
"336",2015,12,7.4,14,74,"BHS"
"337",2016,11.7,7.3,13.7,72,"BHS"
"338",2017,11.4,7.2,13.3,70,"BHS"
"339",2018,11.2,7,13,NA,"BHS"
"340",2019,14.5,6.9,22.4,NA,"BHS"
"341",2000,10.7,4.7,12.5,27,"BHR"
"342",2001,10.3,4.4,12,19,"BHR"
"343",2002,10,4.1,11.6,25,"BHR"
"344",2003,9.7,3.9,11.3,21,"BHR"
"345",2004,9.4,3.7,11,21,"BHR"
"346",2005,9.1,3.6,10.6,19,"BHR"
"347",2006,8.8,3.4,10.2,24,"BHR"
"348",2007,8.4,3.3,9.8,16,"BHR"
"349",2008,8,3.2,9.3,18,"BHR"
"350",2009,7.6,3.2,8.9,19,"BHR"
"351",2010,7.3,3.2,8.5,18,"BHR"
"352",2011,7,3.2,8.2,15,"BHR"
"353",2012,6.8,3.2,8,18,"BHR"
"354",2013,6.7,3.2,7.8,17,"BHR"
"355",2014,6.6,3.2,7.7,15,"BHR"
"356",2015,6.5,3.2,7.6,15,"BHR"
"357",2016,6.4,3.2,7.5,15,"BHR"
"358",2017,6.3,3.1,7.3,14,"BHR"
"359",2018,6.1,3.1,7.1,NA,"BHR"
"360",2019,5.9,3,7,NA,"BHR"
"361",2000,63.1,44,86,434,"BGD"
"362",2001,60,42.2,81.1,423,"BGD"
"363",2002,57,40.4,76.5,410,"BGD"
"364",2003,54.3,38.8,72.3,395,"BGD"
"365",2004,51.8,37.3,68.3,372,"BGD"
"366",2005,49.4,35.9,64.6,343,"BGD"
"367",2006,47,34.5,61,315,"BGD"
"368",2007,44.8,33.1,57.8,297,"BGD"
"369",2008,42.7,31.8,54.7,280,"BGD"
"370",2009,40.7,30.6,51.8,269,"BGD"
"371",2010,38.9,29.4,49.1,258,"BGD"
"372",2011,37.2,28.2,46.7,248,"BGD"
"373",2012,35.6,27.1,44.4,238,"BGD"
"374",2013,34,25.9,42.2,227,"BGD"
"375",2014,32.5,24.8,40.1,214,"BGD"
"376",2015,31,23.6,38.1,200,"BGD"
"377",2016,29.6,22.4,36.1,186,"BGD"
"378",2017,28.2,20.9,34.2,173,"BGD"
"379",2018,26.8,19.7,32.4,NA,"BGD"
"380",2019,25.5,18.5,30.7,NA,"BGD"
"381",2000,13.7,9.3,15.1,50,"BRB"
"382",2001,14,9.3,15.3,48,"BRB"
"383",2002,14.2,9.5,15.5,47,"BRB"
"384",2003,14.3,9.6,15.7,45,"BRB"
"385",2004,14.4,9.8,15.7,43,"BRB"
"386",2005,14.4,9.9,15.7,42,"BRB"
"387",2006,14.3,10,15.6,41,"BRB"
"388",2007,14.2,10.1,15.4,40,"BRB"
"389",2008,14.1,10.1,15.3,39,"BRB"
"390",2009,13.9,10,15.1,38,"BRB"
"391",2010,13.8,10,15,36,"BRB"
"392",2011,13.7,9.9,14.8,35,"BRB"
"393",2012,13.6,9.8,14.7,34,"BRB"
"394",2013,13.5,9.7,14.6,32,"BRB"
"395",2014,13.3,9.5,14.3,31,"BRB"
"396",2015,13,9.3,14,31,"BRB"
"397",2016,12.7,9.1,13.7,30,"BRB"
"398",2017,12.4,8.9,13.4,27,"BRB"
"399",2018,12.1,8.6,13,NA,"BRB"
"400",2019,11.7,8.4,12.6,NA,"BRB"
"401",2000,9.9,6,12.7,22,"BLR"
"402",2001,9.2,5.5,11.8,19,"BLR"
"403",2002,8.5,5,10.9,18,"BLR"
"404",2003,7.8,4.5,10.1,15,"BLR"
"405",2004,7.3,4,9.4,13,"BLR"
"406",2005,6.7,3.5,8.7,11,"BLR"
"407",2006,6.2,3,8,9,"BLR"
"408",2007,5.6,2.6,7.3,7,"BLR"
"409",2008,5.1,2.2,6.6,6,"BLR"
"410",2009,4.6,2,6.1,6,"BLR"
"411",2010,4.3,1.8,5.6,5,"BLR"
"412",2011,3.9,1.7,5.2,5,"BLR"
"413",2012,3.7,1.7,4.9,4,"BLR"
"414",2013,3.5,1.7,4.6,3,"BLR"
"415",2014,3.3,1.6,4.3,3,"BLR"
"416",2015,3.1,1.6,4.1,3,"BLR"
"417",2016,2.9,1.5,3.9,3,"BLR"
"418",2017,2.7,1.4,3.6,2,"BLR"
"419",2018,2.5,1.2,3.4,NA,"BLR"
"420",2019,2.4,1.1,3.1,NA,"BLR"
"421",2000,4.8,3,5.8,8,"BEL"
"422",2001,4.6,2.8,5.6,8,"BEL"
"423",2002,4.4,2.8,5.4,7,"BEL"
"424",2003,4.3,2.7,5.2,7,"BEL"
"425",2004,4.2,2.7,5.1,7,"BEL"
"426",2005,4,2.6,4.9,7,"BEL"
"427",2006,4,2.6,4.8,7,"BEL"
"428",2007,3.9,2.5,4.7,7,"BEL"
"429",2008,3.8,2.5,4.6,7,"BEL"
"430",2009,3.7,2.4,4.5,6,"BEL"
"431",2010,3.6,2.3,4.4,6,"BEL"
"432",2011,3.6,2.3,4.4,6,"BEL"
"433",2012,3.5,2.3,4.3,6,"BEL"
"434",2013,3.4,2.3,4.2,6,"BEL"
"435",2014,3.3,2.3,4.1,6,"BEL"
"436",2015,3.3,2.3,4.1,5,"BEL"
"437",2016,3.3,2.3,4.1,5,"BEL"
"438",2017,3.3,2.3,4.1,5,"BEL"
"439",2018,3.4,2.4,4.2,NA,"BEL"
"440",2019,3.4,2.4,4.2,NA,"BEL"
"441",2000,20,12,23.6,89,"BLZ"
"442",2001,19.4,11.6,22.8,88,"BLZ"
"443",2002,18.9,11.1,22.2,82,"BLZ"
"444",2003,18.5,10.6,21.7,80,"BLZ"
"445",2004,18.2,10,21.3,75,"BLZ"
"446",2005,17.9,9.4,20.9,70,"BLZ"
"447",2006,17.6,8.7,20.6,65,"BLZ"
"448",2007,17.3,8.4,20.3,61,"BLZ"
"449",2008,17,8.4,19.9,59,"BLZ"
"450",2009,16.6,8.7,19.4,57,"BLZ"
"451",2010,16.2,9.3,18.9,54,"BLZ"
"452",2011,15.7,10,18.3,52,"BLZ"
"453",2012,15.2,10.4,17.7,50,"BLZ"
"454",2013,14.6,10.5,16.9,48,"BLZ"
"455",2014,13.9,10.4,16.1,46,"BLZ"
"456",2015,13.2,10.1,15.3,43,"BLZ"
"457",2016,12.5,9.6,14.5,39,"BLZ"
"458",2017,11.8,9.1,13.7,36,"BLZ"
"459",2018,11.1,8.6,12.9,NA,"BLZ"
"460",2019,10.6,8.1,12.3,NA,"BLZ"
"461",2000,85,39,136.8,520,"BEN"
"462",2001,83.3,38.3,133.7,516,"BEN"
"463",2002,81.5,37.6,130.5,511,"BEN"
"464",2003,79.8,36.8,127.4,510,"BEN"
"465",2004,78.2,36.2,124.4,505,"BEN"
"466",2005,76.5,35.8,121.5,500,"BEN"
"467",2006,75,35.3,118.8,493,"BEN"
"468",2007,73.6,35,116.2,486,"BEN"
"469",2008,72.2,34.6,113.7,480,"BEN"
"470",2009,70.9,34.3,111.3,471,"BEN"
"471",2010,69.6,33.9,109,464,"BEN"
"472",2011,68.3,33.5,106.7,458,"BEN"
"473",2012,67,33.1,104.4,450,"BEN"
"474",2013,65.7,32.7,102.1,441,"BEN"
"475",2014,64.4,32.3,99.8,432,"BEN"
"476",2015,63.2,31.9,97.6,421,"BEN"
"477",2016,61.9,31.5,95.4,408,"BEN"
"478",2017,60.6,31.1,93.2,397,"BEN"
"479",2018,59.3,30.6,90.9,NA,"BEN"
"480",2019,57.9,30.2,88.4,NA,"BEN"
"481",2000,NA,NA,NA,NA,"BMU"
"482",2001,NA,NA,NA,NA,"BMU"
"483",2002,NA,NA,NA,NA,"BMU"
"484",2003,NA,NA,NA,NA,"BMU"
"485",2004,NA,NA,NA,NA,"BMU"
"486",2005,NA,NA,NA,NA,"BMU"
"487",2006,NA,NA,NA,NA,"BMU"
"488",2007,NA,NA,NA,NA,"BMU"
"489",2008,NA,NA,NA,NA,"BMU"
"490",2009,NA,NA,NA,NA,"BMU"
"491",2010,NA,NA,NA,NA,"BMU"
"492",2011,NA,NA,NA,NA,"BMU"
"493",2012,NA,NA,NA,NA,"BMU"
"494",2013,NA,NA,NA,NA,"BMU"
"495",2014,NA,NA,NA,NA,"BMU"
"496",2015,NA,NA,NA,NA,"BMU"
"497",2016,NA,NA,NA,NA,"BMU"
"498",2017,NA,NA,NA,NA,"BMU"
"499",2018,NA,NA,NA,NA,"BMU"
"500",2019,NA,NA,NA,NA,"BMU"
"501",2000,57.5,31.8,77.2,423,"BTN"
"502",2001,54.8,30.9,72.9,384,"BTN"
"503",2002,52.2,30,68.9,365,"BTN"
"504",2003,49.7,29,65,348,"BTN"
"505",2004,47.2,28,61.2,332,"BTN"
"506",2005,44.7,27.1,57.5,310,"BTN"
"507",2006,42.3,26.2,54.1,291,"BTN"
"508",2007,40.1,25.3,50.8,275,"BTN"
"509",2008,38,24.4,47.8,264,"BTN"
"510",2009,36,23.4,44.9,255,"BTN"
"511",2010,34.1,22.5,42.4,247,"BTN"
"512",2011,32.4,21.6,40,239,"BTN"
"513",2012,31,20.8,38,231,"BTN"
"514",2013,29.6,20.1,36.2,223,"BTN"
"515",2014,28.5,19.3,34.6,214,"BTN"
"516",2015,27.4,18.4,33.1,203,"BTN"
"517",2016,26.5,17.6,31.9,193,"BTN"
"518",2017,25.6,17,30.7,183,"BTN"
"519",2018,24.7,16.3,29.6,NA,"BTN"
"520",2019,23.9,15.7,28.6,NA,"BTN"
"521",2000,55.9,29.6,75.6,331,"BOL"
"522",2001,53.1,28.7,71.3,320,"BOL"
"523",2002,50.4,28,67.2,309,"BOL"
"524",2003,47.8,27.4,63.3,297,"BOL"
"525",2004,45.4,26.8,59.6,283,"BOL"
"526",2005,43.1,26.2,56.2,271,"BOL"
"527",2006,40.8,25.5,52.9,258,"BOL"
"528",2007,38.7,24.7,49.8,246,"BOL"
"529",2008,36.7,23.7,46.9,234,"BOL"
"530",2009,34.8,22.8,44.1,222,"BOL"
"531",2010,33,21.8,41.6,212,"BOL"
"532",2011,31.2,20.8,39.2,202,"BOL"
"533",2012,29.6,19.9,37,192,"BOL"
"534",2013,28,18.7,34.9,184,"BOL"
"535",2014,26.6,17.6,33,175,"BOL"
"536",2015,25.4,16.7,31.3,168,"BOL"
"537",2016,24.3,15.9,29.9,161,"BOL"
"538",2017,23.2,15.2,28.6,155,"BOL"
"539",2018,22.3,14.6,27.4,NA,"BOL"
"540",2019,21.5,14,26.3,NA,"BOL"
